,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
40037,5,3,3,1,5,1,1,1,3,1,1,5,1,1,5,1,3,3,5,5,3
5785,5,2,3,1,5,4,3,5,3,3,2,5,4,1,4,5,1,1,5,5,4
31046,4,5,4,4,4,4,2,2,3,2,2,3,1,1,4,4,5,3,4,1,4
26447,1,1,4,3,1,5,5,1,5,5,1,1,1,4,1,5,3,1,5,1,2
60965,1,2,2,4,4,2,4,2,4,4,1,2,3,4,2,1,3,4,5,1,4
37756,3,3,5,4,1,5,5,3,5,4,4,1,2,4,1,5,2,3,5,1,2
34567,5,1,5,4,5,5,5,5,5,5,1,5,1,4,5,3,1,1,5,2,1
32110,3,3,4,4,4,2,1,3,3,4,1,4,3,2,3,2,1,5,4,1,4
32140,1,2,2,4,5,4,2,1,5,5,1,1,1,1,1,5,1,2,1,1,2
31996,2,2,4,2,4,2,4,1,5,4,1,2,4,2,4,3,5,4,4,1,2
40495,1,5,1,1,5,1,1,5,1,1,1,1,1,1,1,5,1,5,5,1,3
27336,5,2,5,2,3,5,3,3,4,4,1,4,5,1,3,2,3,5,5,1,4
4422,5,5,2,1,5,1,1,5,2,5,1,4,5,1,5,1,5,4,5,5,3
46638,5,3,4,1,4,1,4,5,5,2,3,4,2,3,1,1,5,5,1,3,1
40749,4,2,1,1,5,1,1,4,3,4,3,5,5,1,4,1,1,5,2,1,3
62477,2,4,1,1,1,2,1,1,2,2,1,1,5,1,4,2,4,5,4,1,4
7299,1,2,4,4,1,2,2,1,5,5,3,5,3,2,2,2,5,4,3,1,2
23716,1,1,1,5,5,1,1,1,4,2,1,1,4,2,5,5,1,4,3,1,4
6578,2,1,2,5,3,5,5,5,5,5,5,1,3,5,1,5,1,4,3,1,1
14369,4,2,4,2,4,4,2,4,5,4,2,4,4,2,4,4,4,4,3,4,4
49310,5,5,3,1,2,2,1,5,4,1,2,4,2,1,5,1,1,4,5,3,3
50202,5,5,1,5,5,1,5,5,4,1,1,5,5,1,5,1,1,5,1,5,3
36004,5,4,4,3,5,1,1,3,1,2,1,5,3,2,5,1,2,4,5,1,3
53446,1,2,3,4,5,4,2,2,3,5,3,4,2,4,4,4,2,4,3,1,2
17160,5,2,1,1,5,1,1,5,2,4,1,5,1,1,5,1,4,5,4,5,3
30603,3,1,2,4,1,2,2,1,5,2,1,5,1,1,4,2,4,4,5,3,4
36241,5,5,1,2,4,1,4,4,4,3,1,5,4,2,2,2,3,3,5,1,3
52979,2,4,1,1,2,1,1,2,1,1,1,5,5,1,4,2,1,4,5,2,3
31312,2,1,1,1,2,5,5,1,5,5,1,5,4,5,1,4,5,1,1,2,1
45473,5,5,1,5,4,1,1,3,1,5,1,5,2,1,5,1,1,5,5,5,4
44359,5,3,2,5,4,1,1,1,3,3,1,5,2,4,5,1,1,5,5,1,4
17317,3,3,3,4,2,2,1,5,4,2,3,3,3,3,5,4,2,4,5,4,4
24768,1,3,5,3,2,4,4,3,5,3,3,3,3,3,3,5,3,3,5,1,2
17534,1,1,4,4,2,4,3,2,5,4,2,2,2,2,2,4,4,1,4,1,2
51607,4,5,2,1,4,2,2,5,5,4,1,4,1,1,2,1,3,5,5,5,4
63368,1,1,3,5,1,3,1,1,5,5,3,2,1,5,1,4,3,1,2,1,2
73439,5,5,3,2,5,3,2,2,4,2,1,5,5,2,4,2,2,4,4,5,3
17437,2,1,5,4,3,5,2,2,5,5,2,4,3,3,1,2,1,2,5,4,1
70553,5,4,4,3,3,1,1,1,4,2,2,5,5,1,3,1,2,5,4,4,4
63537,1,2,2,4,4,2,1,2,5,3,2,4,2,2,4,1,3,4,5,1,4
