,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
58523,3,4,2,3,3,4,1,2,4,3,4,5,4,2,4,1,4,4,5,4,1
71715,4,1,1,5,2,5,1,4,3,3,1,5,4,1,4,4,2,2,5,4,1
8018,1,4,5,5,3,4,2,1,5,5,2,4,4,4,3,3,3,3,5,3,0
26263,5,5,3,2,5,1,1,4,4,2,2,5,5,1,5,1,1,5,5,2,1
63511,2,1,4,4,4,4,2,2,5,2,2,4,2,2,2,4,2,2,5,1,0
21564,1,1,4,5,2,4,4,1,5,4,2,4,2,2,2,3,4,1,4,1,0
26142,1,1,4,5,1,5,5,1,5,5,4,1,1,5,1,5,5,1,1,1,0
26696,5,4,1,1,5,1,1,4,3,2,1,5,5,1,5,1,1,5,5,2,1
38954,1,1,5,5,2,4,2,1,5,5,2,1,1,5,1,1,5,1,5,1,0
11512,5,3,3,2,1,4,1,2,5,3,1,1,1,1,3,4,1,3,5,1,0
985,1,3,1,5,5,2,3,5,3,3,1,1,2,1,3,1,1,4,4,1,0
42578,4,5,3,2,4,2,1,3,3,2,1,4,4,3,4,1,3,4,4,2,1
1253,5,5,5,4,4,4,5,1,4,4,1,1,1,1,1,5,2,5,5,1,0
19487,5,1,3,1,3,3,1,5,4,4,1,1,2,1,3,3,1,4,5,3,1
28398,3,3,4,4,1,4,2,3,4,3,4,3,1,3,3,4,3,1,2,2,0
25631,2,4,4,3,5,2,1,1,5,2,2,2,1,5,2,3,3,4,5,1,0
12547,1,1,2,4,4,4,4,1,5,5,2,4,1,2,1,4,1,2,1,1,0
7225,5,5,1,4,5,1,1,5,3,1,3,5,4,1,5,1,1,5,5,1,1
28954,2,1,1,1,2,1,1,5,5,2,1,5,1,1,4,1,1,5,1,5,1
37888,5,4,2,2,3,4,3,1,5,2,4,1,4,1,4,4,4,5,5,1,0
5442,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
16870,1,4,4,5,1,2,2,1,5,4,1,4,1,2,5,4,1,4,5,1,0
40397,2,5,1,2,2,1,1,1,1,4,1,4,2,1,3,1,3,5,5,1,1
66472,4,4,4,3,4,4,1,4,4,4,3,2,4,2,4,2,2,4,5,2,1
53926,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
13519,2,2,4,5,2,1,1,2,5,2,1,5,2,1,3,1,1,1,5,3,0
1443,5,4,1,2,4,1,1,2,4,1,1,5,4,2,4,1,1,4,5,1,1
43753,4,4,2,1,4,5,2,4,5,5,3,5,5,1,4,1,1,2,5,2,1
1390,5,4,4,2,5,1,2,4,2,2,1,5,4,2,4,1,3,5,5,5,1
13437,1,1,1,4,1,4,4,1,5,5,1,2,1,4,2,4,1,1,5,1,0
38866,4,5,2,4,5,1,4,5,4,4,1,4,2,3,5,2,4,4,4,2,1
48063,5,1,1,1,5,1,1,5,5,5,1,5,5,1,4,1,5,5,5,1,1
19997,2,3,2,2,4,2,2,4,3,3,2,4,4,3,1,1,2,2,5,2,1
64133,2,3,4,1,4,4,5,4,5,5,1,4,1,1,1,1,2,3,5,5,1
66408,1,4,5,4,2,4,2,2,4,5,1,2,1,2,4,4,2,3,4,2,0
19832,5,5,1,1,5,1,1,5,3,1,1,5,5,1,5,1,1,5,5,5,0
71219,1,1,4,3,3,4,2,1,5,5,1,5,3,4,3,4,1,1,5,2,0
40532,3,5,5,2,3,4,3,2,5,4,4,2,3,2,3,1,5,5,5,3,0
53849,2,4,4,4,4,4,4,2,5,5,2,5,5,4,2,4,2,3,4,1,0
11335,1,1,4,5,3,4,4,2,5,5,2,4,1,2,1,2,5,3,5,1,0
25311,2,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,4,0
40263,5,4,4,4,3,2,4,4,2,5,1,5,1,1,5,5,2,1,5,5,1
37418,4,5,3,3,4,3,4,1,2,1,3,2,4,3,5,4,3,1,5,1,1
43288,1,1,5,2,4,5,5,5,5,5,1,5,1,1,4,5,4,1,5,4,0
73004,4,3,5,3,2,2,1,1,3,3,1,5,4,1,3,1,2,5,5,1,1
35131,4,5,2,2,4,2,2,4,4,2,2,5,4,2,4,2,1,4,4,1,1
37097,1,4,4,3,4,5,5,3,5,5,2,5,1,3,1,4,5,3,5,3,0
45639,2,1,2,4,1,2,2,2,5,5,4,1,1,2,3,4,5,1,5,2,0
43081,1,1,5,5,1,5,5,4,5,5,5,4,1,3,1,5,3,1,4,1,0
45243,4,1,3,1,5,1,1,5,5,4,1,5,1,1,1,1,1,5,5,3,1
11854,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
60950,4,4,1,4,2,2,1,5,3,2,3,1,1,3,5,3,1,2,5,4,1
57690,2,2,1,5,1,1,1,2,4,4,3,1,1,3,3,1,5,3,5,1,0
28192,1,5,3,1,4,1,1,5,5,5,1,1,5,1,5,5,1,5,5,1,1
56203,1,1,5,5,1,5,5,4,5,3,2,2,1,4,2,5,1,1,1,1,0
43134,5,5,1,1,5,2,1,1,5,1,1,5,1,1,3,1,1,5,5,1,1
52545,5,3,5,3,4,3,2,5,5,5,1,5,1,1,3,1,5,4,1,1,1
69280,3,4,1,1,3,3,1,1,1,1,4,5,1,3,3,1,3,1,4,1,1
44671,5,5,4,1,5,1,1,5,3,1,1,5,5,1,5,1,3,5,3,5,1
43607,5,5,3,3,3,3,3,2,5,4,2,4,2,2,4,2,2,5,5,3,1
12608,4,4,1,3,4,1,1,4,2,2,2,5,2,2,4,2,2,4,5,2,1
60928,2,4,3,3,4,3,3,3,5,5,2,4,2,2,2,2,2,4,4,1,0
57463,2,2,4,4,1,4,2,3,4,3,2,5,1,4,3,3,3,4,5,1,0
3057,3,2,2,4,4,1,3,2,5,4,3,4,4,3,4,1,2,4,4,3,1
8781,5,5,5,1,5,1,1,5,3,1,5,5,5,1,5,1,5,5,3,5,1
9817,2,1,4,1,5,2,4,4,5,2,1,1,5,1,4,2,2,4,4,2,1
54466,3,1,5,4,5,4,3,4,5,5,3,4,4,4,3,4,2,3,4,1,0
36732,4,1,2,2,2,1,2,1,5,3,2,4,1,3,3,4,1,3,5,4,0
21994,5,5,5,1,5,1,1,5,2,1,1,5,5,1,5,1,1,1,5,5,1
33988,5,4,1,2,5,2,2,4,3,2,2,5,4,3,4,1,1,5,5,3,1
62357,2,3,1,2,4,1,1,2,3,2,2,4,4,2,4,1,3,4,4,3,1
22753,4,2,4,2,2,1,1,2,4,4,2,4,2,2,2,2,1,4,5,1,0
43731,5,4,1,1,5,1,1,5,1,2,1,5,5,1,5,1,1,5,3,2,1
18536,4,5,2,2,4,1,1,2,1,1,2,4,5,2,3,2,1,5,5,2,1
72603,5,5,1,1,5,1,1,4,4,1,1,5,5,1,5,5,1,5,5,1,1
21965,2,5,1,2,5,1,1,3,3,4,1,4,4,1,5,1,1,3,5,5,1
42456,5,2,5,2,5,1,2,5,4,4,1,5,2,1,5,1,2,4,5,5,1
28106,1,5,1,4,5,1,1,4,2,2,2,5,2,2,5,1,4,4,5,3,1
8639,1,3,5,5,1,4,2,1,5,5,5,1,1,5,4,5,4,5,5,1,0
