,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
144,5,5,1,1,4,1,1,5,4,4,1,5,5,1,1,1,1,5,5,1
145,3,4,4,3,4,1,1,4,4,3,1,5,4,4,2,1,2,4,4,4
146,1,1,5,5,4,5,1,1,5,5,4,1,1,2,1,2,5,5,5,5
147,4,4,1,2,2,1,1,2,3,3,2,2,4,1,5,2,2,4,4,1
148,1,2,4,1,2,3,3,1,5,5,4,2,1,2,1,2,1,4,5,2
149,5,5,1,5,5,1,1,1,1,1,1,5,5,1,5,1,1,5,5,5
150,4,5,4,2,3,3,3,4,4,3,1,4,1,1,5,1,1,2,4,4
151,5,5,3,2,5,3,3,4,4,4,1,5,5,1,3,3,2,5,5,4
152,1,3,3,3,3,4,1,3,1,3,1,4,1,1,3,3,1,5,5,1
153,1,1,4,4,2,4,2,1,5,2,1,2,1,2,4,4,4,4,5,1
154,5,4,1,1,5,1,1,4,2,2,1,5,5,1,1,1,1,4,5,3
155,1,1,1,5,1,5,2,1,5,4,3,1,1,2,4,3,5,5,4,1
156,3,2,4,4,4,3,4,2,5,4,3,4,2,3,3,2,3,2,4,3
157,5,5,1,1,5,1,1,5,1,1,1,5,4,1,4,1,1,5,4,1
158,1,5,2,1,5,1,1,2,2,1,1,5,5,1,5,1,1,5,5,5
159,1,1,5,5,1,5,5,3,5,5,2,1,2,4,1,4,5,2,5,1
160,1,1,2,4,2,5,2,1,5,2,5,1,1,4,2,2,1,2,5,1
161,4,4,2,4,4,4,2,5,2,1,2,4,5,2,4,4,1,5,2,5
162,3,4,1,1,4,1,2,4,4,2,1,5,5,1,4,1,1,2,5,5
163,5,5,1,1,5,1,1,5,3,1,1,4,5,1,4,1,1,4,5,5
164,4,2,2,2,5,3,2,2,4,4,2,1,2,2,2,5,3,2,3,3
165,5,4,2,3,4,2,1,4,5,5,1,2,4,2,3,5,2,4,5,1
166,4,3,3,2,4,2,2,2,5,2,1,4,5,1,4,4,1,4,5,5
167,3,5,3,3,3,3,3,3,3,3,1,3,1,3,3,3,4,3,2,3
168,4,4,1,4,5,2,1,5,4,1,2,4,2,1,4,2,2,5,5,1
169,1,3,5,5,2,5,3,4,5,5,1,4,1,5,1,1,3,1,3,1
170,1,2,3,2,4,3,2,2,5,1,1,1,1,2,5,5,3,4,3,1
171,4,5,4,5,4,3,2,2,5,5,2,1,2,4,5,4,1,2,5,1
172,5,5,5,1,5,1,5,5,5,1,1,1,5,1,5,1,3,5,5,1
173,5,5,2,3,5,3,1,5,3,5,1,2,5,2,3,2,1,4,5,1
174,5,5,2,1,5,2,2,5,3,2,1,4,5,1,5,5,1,5,5,2
175,3,4,2,1,4,1,1,2,3,4,1,5,1,1,4,1,3,5,5,1
176,2,2,4,3,4,5,4,2,5,5,1,4,1,1,3,2,3,5,5,1
177,5,5,1,2,5,1,1,5,2,2,1,5,5,1,5,1,1,4,5,4
178,5,4,3,1,5,1,1,5,3,3,1,5,5,1,4,1,1,3,5,3
179,5,5,1,1,5,2,1,4,3,4,1,5,5,2,5,2,1,5,5,5
180,2,4,4,4,1,3,3,1,5,4,3,4,2,2,2,3,5,3,2,1
181,3,4,2,4,4,1,1,1,1,2,1,5,1,2,3,5,1,4,5,3
182,5,5,1,3,4,1,1,5,1,1,1,5,5,1,5,5,2,5,5,4
183,5,4,2,3,5,1,1,4,3,1,1,5,5,1,5,4,3,3,5,4
184,2,1,3,4,3,3,2,4,5,4,2,4,1,3,4,4,5,2,5,1
185,5,4,1,1,5,1,1,5,5,2,1,4,5,1,5,1,4,5,5,2
186,5,5,4,1,5,1,1,4,4,5,1,3,5,1,5,3,1,5,5,1
187,5,5,2,2,4,2,1,4,2,2,1,5,4,1,5,1,2,5,5,2
188,5,2,2,1,5,2,2,2,3,3,1,5,2,1,3,1,3,4,5,4
189,5,5,1,3,3,1,1,4,1,2,1,5,4,1,4,2,1,4,5,3
190,3,4,1,1,4,1,1,5,1,1,1,5,3,1,3,1,1,5,5,3
191,2,3,4,3,4,4,5,2,5,3,1,4,4,1,4,3,1,4,1,4
192,4,4,1,1,3,1,1,4,1,1,1,5,4,1,3,1,2,4,3,4
193,1,1,2,5,1,5,5,1,5,1,2,1,1,5,1,5,1,2,3,1
194,5,5,2,3,4,2,1,4,4,2,2,4,3,1,4,2,1,5,5,4
195,5,4,2,2,5,1,1,4,2,1,2,5,4,2,5,1,1,4,5,5
196,3,5,2,3,5,4,1,4,5,1,1,4,1,3,4,4,1,5,5,1
197,1,5,4,5,5,5,2,4,5,5,3,1,3,2,1,5,5,5,2,2
198,5,5,1,1,5,3,1,5,5,1,1,4,5,1,5,3,1,5,3,1
199,5,5,1,4,1,1,1,5,5,1,1,5,1,1,5,2,1,5,3,5
200,4,4,3,3,5,3,2,4,4,2,1,4,2,2,5,5,2,4,4,2
201,5,4,2,2,5,4,1,4,2,1,1,4,5,2,5,1,1,4,3,1
202,4,4,2,1,4,2,2,2,4,5,1,5,3,2,4,1,3,5,4,3
203,4,2,3,2,5,2,1,4,4,2,1,2,3,1,1,1,4,5,5,4
204,2,1,1,2,5,1,4,4,2,2,1,4,4,1,4,1,2,4,5,4
205,1,4,5,4,1,2,1,2,5,5,1,1,4,3,3,5,1,1,4,1
206,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5
207,2,5,1,2,5,1,1,3,3,3,1,5,3,1,5,1,3,5,5,3
208,1,1,5,5,1,4,1,5,5,5,1,5,1,1,1,4,4,4,5,1
209,5,5,2,3,4,3,3,4,3,1,1,4,4,2,5,1,1,5,5,3
