,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
29162,1,2,5,1,3,5,5,2,5,4,5,2,5,2,4,4,4,2,5,1
70882,1,1,5,5,4,5,5,4,5,5,2,4,5,4,4,5,2,3,3,4
40672,1,5,4,4,3,2,1,4,4,4,1,3,1,2,5,3,4,3,5,1
27097,5,5,2,1,5,1,1,5,1,1,1,4,5,1,5,1,2,1,5,5
52044,4,4,3,1,2,2,1,2,1,4,1,1,1,1,3,3,1,4,5,3
17052,2,4,4,2,2,1,1,5,4,2,3,4,2,3,3,1,2,4,4,2
41882,1,1,2,3,4,2,1,1,5,5,2,2,2,3,4,1,2,5,5,1
5070,4,4,4,1,4,3,1,5,3,2,1,4,4,2,3,1,2,4,5,3
41478,5,4,2,1,5,1,1,1,5,5,1,5,5,1,5,4,1,5,5,5
30188,4,4,2,2,4,1,1,4,3,1,2,5,4,2,4,2,1,4,4,2
19809,1,1,5,5,4,4,1,1,5,5,1,5,1,3,4,1,3,2,5,1
20481,5,5,1,1,4,1,1,5,4,1,1,5,5,1,5,1,1,4,5,3
19445,2,3,4,4,1,5,4,3,5,4,2,1,1,3,3,4,5,4,5,1
14579,5,4,5,1,5,2,3,1,5,4,1,5,2,1,1,1,1,4,5,2
48137,2,3,3,2,4,4,2,3,3,3,1,4,2,2,3,1,2,4,5,4
67822,5,5,3,1,3,3,1,5,3,2,1,5,5,1,5,1,5,5,5,1
43602,1,1,2,2,4,2,1,5,5,2,1,5,5,1,3,1,1,5,5,1
63875,1,5,2,4,3,2,1,1,3,4,1,2,1,3,5,4,2,4,5,1
454,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5
70678,5,1,1,4,5,5,5,5,5,5,1,4,5,3,1,5,5,5,5,1
11088,4,2,3,2,2,3,1,2,5,3,1,4,1,1,4,1,2,4,3,1
15992,4,4,1,1,5,1,1,5,2,1,1,5,5,1,5,5,1,5,5,1
49051,5,4,1,1,5,2,1,5,3,1,1,5,4,1,4,1,1,5,5,4
68965,5,1,1,1,5,2,1,5,2,2,1,5,4,1,4,1,1,5,5,5
70498,5,1,1,5,5,1,1,1,5,5,2,5,1,1,4,1,1,1,5,5
20327,4,4,2,1,5,1,1,3,3,2,2,5,3,2,4,1,1,5,5,1
53111,4,3,2,3,1,3,4,2,5,3,3,3,2,3,4,4,1,2,3,1
55399,5,4,3,2,4,2,1,2,5,5,1,5,1,1,5,5,5,5,5,1
28119,1,3,3,2,4,2,2,2,3,5,1,2,4,2,2,4,5,4,2,2
69662,5,4,5,4,5,4,2,2,5,2,1,5,1,1,2,4,1,5,2,1
35825,1,1,5,5,3,5,5,3,5,5,5,1,2,3,1,5,1,1,3,1
49142,1,1,5,2,4,1,1,4,5,4,1,2,2,3,1,1,1,1,5,1
48972,5,3,2,3,5,4,1,3,3,2,1,5,4,2,3,1,1,4,5,2
15243,2,5,2,4,3,3,2,4,2,2,1,5,2,3,5,1,4,5,5,2
4475,3,4,5,1,5,4,2,2,4,4,4,1,3,3,4,4,2,3,5,1
50189,4,2,3,5,3,3,2,1,4,4,5,3,1,4,3,1,2,5,3,3
21023,5,1,1,4,2,1,1,1,5,5,1,1,1,4,1,4,5,5,5,1
58424,1,2,4,5,3,5,5,3,5,5,3,5,2,5,1,5,5,2,1,1
22509,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5
22227,4,4,1,1,4,1,1,5,2,2,1,5,5,4,5,1,1,5,1,1
35650,2,2,1,2,3,2,1,1,4,5,1,1,2,1,2,4,4,2,5,3
50089,3,5,4,3,4,2,4,4,5,4,1,4,2,1,4,2,2,5,5,2
68954,2,2,4,4,3,5,2,3,5,2,2,2,1,3,3,4,2,2,5,4
2727,2,2,4,4,4,1,1,4,5,2,2,5,2,3,3,4,3,1,5,3
40591,5,3,2,1,5,2,3,5,2,1,1,4,5,1,5,4,2,5,1,5
25873,2,4,5,2,4,5,5,1,5,4,2,5,5,2,5,2,5,3,5,1
39821,5,3,2,1,5,2,1,4,1,2,1,5,4,1,2,1,1,4,5,3
52591,5,5,1,1,5,1,1,5,3,3,3,5,5,1,5,1,1,5,5,5
9194,5,5,2,2,5,1,5,4,1,1,1,3,4,1,5,3,5,5,5,1
45730,2,2,2,4,1,2,1,1,4,2,1,4,1,2,4,2,4,2,4,2
52022,5,2,1,3,5,1,5,5,3,1,1,5,3,1,3,5,5,3,1,4
29369,4,5,2,2,4,4,1,5,5,2,1,5,4,2,5,1,1,4,5,5
39511,2,2,4,2,2,2,2,4,5,4,2,2,1,3,2,2,2,4,4,1
59027,4,2,5,2,5,4,4,5,5,4,4,2,5,1,2,5,1,2,5,2
3335,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5
53599,3,5,2,2,5,4,2,5,5,4,1,2,4,1,3,3,2,3,4,2
15147,5,1,1,4,4,2,2,4,4,5,1,5,1,2,3,4,2,4,5,1
20691,5,5,1,1,5,1,1,5,3,1,1,5,5,1,5,1,1,5,5,3
27497,5,5,1,2,5,1,1,5,1,1,1,5,5,2,5,1,1,5,3,5
12153,1,2,1,3,2,1,1,3,5,2,1,2,4,1,3,1,5,4,5,2
38396,1,1,3,5,1,4,4,1,5,4,3,1,1,5,4,5,1,2,5,1
4232,5,5,5,2,4,1,1,2,3,2,2,4,3,2,4,1,2,3,5,1
58170,2,1,2,4,1,4,2,1,5,3,2,5,1,2,1,3,3,5,1,1
48206,5,4,4,3,5,2,1,4,5,2,1,3,4,1,4,1,1,4,5,5
35255,1,1,2,2,1,5,4,4,5,4,1,1,1,1,2,5,1,3,5,1
33938,5,5,1,2,5,2,1,2,2,1,1,5,5,1,4,1,1,5,5,4
8854,4,4,2,1,5,2,1,5,2,2,1,5,4,2,4,2,2,4,1,1
35830,3,5,5,5,5,2,1,1,5,5,1,5,5,2,4,5,5,4,5,1
3394,1,2,1,2,2,2,1,2,5,2,3,2,3,3,1,2,1,1,5,2
5365,3,1,2,5,1,2,2,2,5,1,4,2,1,4,1,5,2,1,5,1
21549,5,5,3,3,3,1,1,5,5,1,1,5,1,1,5,5,3,5,5,3
64656,5,5,1,1,5,1,1,5,1,1,1,5,2,2,5,1,1,5,5,5
46481,4,2,4,1,4,2,3,2,5,4,1,5,1,1,2,5,3,4,4,1
14215,2,2,4,4,4,2,1,4,5,5,1,1,2,3,4,4,1,5,5,2
18048,4,3,4,4,2,2,2,3,5,5,2,4,2,2,3,2,4,3,3,4
49758,3,4,2,2,4,3,2,4,5,4,1,2,5,2,3,4,1,4,5,1
32045,4,4,1,4,4,3,2,1,1,4,2,2,5,2,4,5,3,4,5,5
63221,2,4,2,2,4,2,2,4,3,3,2,4,4,1,3,2,1,4,5,2
48556,1,2,2,4,4,5,4,4,5,5,2,3,3,1,5,2,3,5,5,3
50150,4,4,4,2,4,2,4,2,4,2,2,4,2,2,3,2,2,4,5,1
19123,2,1,2,3,2,5,2,2,5,5,3,1,1,3,1,4,2,2,1,2
36548,5,5,1,4,5,1,1,2,1,1,1,5,5,2,5,1,1,5,5,4
484,5,5,2,4,5,1,1,5,5,4,1,5,5,1,1,1,1,5,5,3
4070,5,3,1,3,5,2,1,3,3,5,1,5,5,1,5,1,1,5,3,3
52762,4,5,2,1,4,1,1,4,1,2,1,4,4,1,4,4,1,4,5,1
51468,5,4,5,2,3,2,3,4,3,3,2,5,3,1,2,1,1,4,5,3
32054,5,5,5,1,5,1,1,5,3,1,1,5,1,1,5,1,1,4,5,4
15743,3,4,3,2,4,5,1,5,5,4,1,5,5,2,4,2,4,4,5,2
7329,5,2,1,1,5,4,5,3,5,5,5,4,5,4,5,2,5,1,3,5
56462,5,5,5,3,4,2,1,5,1,1,1,5,5,1,5,1,2,5,5,4
21161,4,5,5,4,5,5,5,3,5,5,1,5,5,1,4,5,4,5,2,1
51868,2,2,2,4,3,2,2,5,5,4,1,4,1,2,4,1,3,4,5,1
