,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
232,2,2,3,3,4,4,1,2,3,4,2,5,2,2,3,4,3,2,5,2,3
233,4,3,4,2,4,3,2,2,4,3,2,3,4,2,3,3,3,3,3,2,1
234,5,5,1,2,1,4,1,4,5,1,1,5,4,2,5,1,5,5,5,5,0
235,5,2,2,3,2,1,1,3,1,3,1,5,3,1,3,1,1,5,5,4,0
236,3,4,2,2,4,2,1,5,2,2,1,5,4,1,5,2,1,4,5,3,0
237,2,1,1,1,5,1,4,1,3,4,1,5,5,1,5,1,1,5,5,5,0
238,3,4,2,3,4,2,2,4,5,2,1,5,2,1,4,3,2,5,5,3,3
239,2,2,4,2,4,3,2,4,4,5,1,4,1,2,2,2,3,2,5,4,3
240,4,4,2,1,5,1,1,4,4,4,1,5,5,1,5,1,1,4,4,3,0
241,5,5,4,3,4,1,1,2,2,2,2,5,4,1,4,2,1,4,5,3,0
242,4,4,1,1,5,1,2,5,2,2,1,3,4,1,5,1,1,5,5,2,0
243,1,3,2,5,3,2,1,1,5,1,3,4,2,4,4,1,1,5,2,2,3
244,5,5,2,1,5,3,3,4,2,2,2,5,3,1,4,2,5,5,5,5,0
245,4,2,2,4,5,4,1,1,5,5,1,4,4,1,4,5,2,5,5,1,1
246,4,4,1,2,3,1,1,4,2,1,1,5,5,1,5,1,1,4,5,3,0
247,4,3,2,4,5,2,2,2,3,4,1,4,3,2,3,3,2,5,5,4,3
248,5,4,1,3,4,1,1,4,2,2,1,5,4,2,4,2,1,5,5,3,0
249,4,4,1,1,4,1,1,4,2,1,1,5,4,1,4,1,1,5,5,5,0
250,5,4,2,1,5,1,1,3,3,1,1,4,5,2,4,1,1,4,4,2,0
251,4,4,3,2,4,2,2,4,2,2,1,4,4,2,4,2,2,4,5,2,0
252,4,4,5,2,5,4,2,4,5,1,1,4,1,1,4,4,2,5,4,1,1
253,5,5,4,1,4,1,1,5,2,1,1,5,4,1,3,4,1,4,5,3,0
254,4,3,4,3,5,2,2,4,3,4,2,5,3,2,4,1,2,3,4,2,1
255,1,3,5,4,1,5,4,1,5,5,2,1,1,4,1,4,5,4,4,1,2
256,3,5,1,2,4,2,1,5,4,2,1,3,5,1,2,1,3,4,5,2,0
257,5,5,1,1,5,1,1,5,2,1,1,5,5,1,5,1,1,5,5,5,0
258,5,5,2,1,5,2,1,5,4,1,1,5,5,1,5,1,1,5,5,1,0
259,5,5,1,1,1,1,1,5,1,3,1,5,5,1,5,1,1,5,5,3,0
260,1,3,1,1,4,1,1,1,1,4,1,2,1,3,4,3,3,5,5,2,3
261,3,4,5,4,5,4,5,2,5,5,4,3,1,3,3,5,1,2,2,3,2
262,5,5,1,1,4,3,1,2,1,1,1,5,5,1,3,1,1,5,5,1,0
263,4,1,1,5,4,1,1,1,4,5,1,4,1,1,1,2,1,4,5,1,3
264,5,1,3,1,4,4,5,1,5,5,1,5,5,1,1,1,4,5,5,1,1
265,1,2,3,4,1,2,1,1,4,4,2,2,2,3,4,2,4,2,5,1,2
266,5,1,2,1,1,5,5,1,5,5,1,2,1,2,1,5,5,1,1,1,2
267,5,1,5,4,5,2,1,4,5,5,2,5,4,2,1,1,3,1,1,3,1
268,5,1,5,5,1,5,5,1,5,1,1,1,1,1,1,5,5,1,3,3,2
269,4,4,2,3,4,1,1,4,3,2,1,3,2,1,2,1,3,4,5,3,3
270,4,4,1,1,1,1,1,4,3,2,1,5,4,1,5,1,1,5,5,3,0
271,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,5,1,5,5,5,0
272,1,1,5,1,5,5,5,2,5,1,1,1,1,1,5,5,2,1,5,1,2
273,5,1,1,2,5,1,1,5,3,2,1,5,1,1,5,1,1,2,5,5,0
274,5,1,5,5,4,5,4,2,5,5,5,4,1,4,1,4,4,3,1,1,2
275,5,1,5,3,3,4,3,4,5,3,2,3,1,3,1,1,3,4,5,3,1
276,4,3,3,5,4,3,2,2,5,2,3,3,1,4,4,2,4,4,5,1,3
277,3,3,2,4,2,2,2,2,4,4,3,4,2,4,2,4,3,2,4,1,2
278,3,5,2,2,3,3,1,5,3,3,1,3,3,2,5,4,2,4,5,1,3
279,3,2,3,4,1,3,2,3,5,3,2,3,3,3,3,4,1,2,5,1,2
280,1,1,4,4,5,4,4,4,5,3,3,5,1,1,2,4,1,4,1,1,2
281,1,1,4,3,2,2,2,1,5,5,2,1,1,2,2,5,3,1,4,1,2
282,3,5,2,3,5,1,1,4,3,2,1,4,4,1,4,2,1,5,5,1,0
283,1,4,5,4,5,5,4,2,5,5,2,1,4,1,2,2,1,2,5,1,2
284,1,2,1,5,5,4,3,1,5,5,1,5,3,3,3,5,4,2,5,1,2
285,1,2,5,5,1,5,2,1,5,1,1,1,1,1,5,5,1,1,5,1,2
286,2,4,2,5,5,2,3,1,5,5,2,1,1,5,4,5,3,5,3,3,2
287,1,2,5,5,2,4,1,2,5,5,2,1,1,4,4,5,2,4,5,1,2
288,1,1,4,2,4,4,2,2,5,5,2,5,1,1,1,5,1,4,5,4,2
289,5,3,5,3,5,3,5,1,5,5,2,5,1,2,3,5,4,4,1,3,1
290,1,3,5,3,5,3,4,1,5,5,1,5,1,1,1,5,1,1,5,1,2
291,5,4,2,2,5,4,2,5,5,1,1,5,4,1,2,2,1,2,5,5,0
292,4,4,2,2,4,3,1,4,4,2,2,4,2,1,5,2,2,4,4,1,3
293,5,4,1,1,5,1,1,2,1,1,1,5,5,1,5,1,1,5,5,1,0
294,1,1,1,5,5,1,2,5,5,2,1,5,1,5,4,5,1,1,5,3,3
295,2,4,2,2,3,4,3,1,4,4,1,1,4,2,5,2,2,5,2,1,3
296,1,1,1,5,1,1,1,1,5,5,1,5,1,5,1,1,1,1,5,1,2
297,5,1,5,3,5,5,5,1,5,5,1,5,5,1,1,5,1,1,3,5,1
298,3,1,5,5,4,3,3,1,5,5,3,1,1,5,4,5,5,4,2,1,2
299,5,5,2,2,5,1,2,3,1,2,1,5,5,1,5,1,1,4,5,1,0
300,5,4,1,3,3,2,2,4,4,4,1,5,2,1,3,2,1,5,5,4,0
301,2,5,1,2,2,1,1,1,4,2,1,2,4,1,4,1,5,4,4,2,3
302,5,5,1,1,5,1,1,5,1,1,1,5,5,2,5,1,1,5,4,4,0
303,2,4,4,2,2,5,1,4,5,5,3,2,1,1,1,4,3,4,5,4,2
304,5,5,4,1,4,2,2,5,4,3,2,5,3,1,1,1,5,5,5,1,1
305,2,3,4,2,5,4,3,3,3,4,2,4,2,2,5,2,4,4,3,1,1
306,3,1,4,4,3,3,3,2,5,5,2,1,4,3,1,3,3,4,3,3,2
307,4,2,4,4,2,2,2,2,4,4,2,2,2,4,3,2,2,4,4,1,3
