,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
11762,4,4,2,2,4,2,1,4,3,2,3,4,4,2,4,1,2,5,5,1,0
6284,4,2,3,4,3,4,2,2,4,4,2,5,3,1,4,2,1,5,5,2,1
28560,5,5,2,1,5,2,1,4,1,2,1,3,4,1,5,1,5,5,5,4,0
24938,1,5,4,1,4,4,4,2,5,4,1,5,1,1,4,4,1,2,4,1,1
19210,1,5,5,1,5,5,2,5,1,5,1,4,5,1,2,2,4,5,5,2,0
19151,4,5,1,4,4,1,1,4,5,4,1,5,4,2,4,1,4,4,5,4,0
3850,2,1,2,4,2,4,5,2,5,2,2,1,1,4,2,5,3,4,5,1,1
15215,1,2,2,4,1,3,2,2,5,5,5,4,2,2,4,2,5,1,4,1,1
32241,3,3,2,3,4,1,1,2,4,5,1,2,1,3,5,2,1,2,4,1,1
5549,4,2,2,1,4,1,1,4,3,1,1,5,1,1,2,1,1,4,5,3,0
56070,1,2,4,4,1,4,2,2,5,3,1,2,3,1,4,4,3,4,5,1,1
33518,5,4,1,1,5,1,5,5,1,1,4,5,5,1,5,1,1,1,5,5,0
52673,5,4,3,2,4,3,2,1,5,2,2,5,2,2,5,4,3,2,4,3,0
22663,3,4,4,2,5,4,2,4,4,2,2,4,4,2,4,5,2,4,4,2,0
50599,1,5,1,5,5,4,3,4,5,5,2,5,1,3,3,5,5,5,1,5,1
15862,5,2,4,5,4,2,5,4,5,5,1,5,4,1,1,1,1,1,5,1,1
5223,4,5,3,1,5,1,3,4,3,3,1,5,4,1,5,1,5,5,5,5,0
70627,2,1,5,4,3,4,4,1,5,3,4,1,1,3,2,5,5,1,2,1,1
25141,4,5,1,2,2,4,2,5,4,4,1,2,4,1,4,1,1,4,4,2,0
57620,1,1,3,5,1,5,5,1,5,5,3,3,1,3,1,1,5,1,5,1,1
35841,5,5,1,1,4,1,1,1,1,1,1,5,5,1,1,1,1,5,5,5,0
47161,5,1,1,1,5,1,1,1,5,5,1,5,2,5,1,1,5,5,5,1,1
27478,5,5,2,4,4,2,1,2,5,4,2,5,2,1,4,5,5,4,1,1,1
60008,5,5,2,1,5,1,1,5,1,2,1,5,5,1,5,1,3,4,5,4,0
67433,5,5,5,5,1,1,1,3,5,5,1,4,1,2,4,1,5,5,4,5,0
60760,4,1,3,1,5,2,1,5,2,2,2,4,2,2,3,2,1,3,1,1,0
862,5,5,2,4,5,2,1,2,1,1,1,4,2,2,5,1,1,3,5,4,0
58416,4,2,4,2,4,4,4,2,5,4,3,5,1,4,4,4,2,1,4,4,1
6425,1,1,4,2,3,4,3,2,5,3,1,3,3,2,3,5,1,2,3,1,1
56343,5,5,1,1,5,1,1,5,5,5,1,5,5,1,1,5,1,5,5,5,0
60705,5,5,1,1,5,2,1,5,1,1,1,5,5,1,5,2,1,5,5,5,0
681,4,4,1,2,4,1,2,4,2,2,1,5,2,1,4,1,2,3,4,3,0
41899,5,5,1,2,4,1,1,5,1,1,1,5,1,1,5,1,1,5,3,3,0
15069,5,5,2,1,5,1,1,4,1,1,1,5,4,1,5,1,1,5,5,5,0
8053,5,5,1,1,3,1,1,2,1,5,1,5,1,1,5,2,1,5,5,1,0
58466,5,5,3,4,5,4,2,3,3,1,2,5,4,1,5,2,1,4,5,4,0
15557,4,4,2,5,5,1,1,4,5,1,1,4,4,2,4,1,1,5,5,3,0
3027,4,1,1,2,3,2,1,4,5,5,2,4,1,1,1,3,1,1,5,1,1
73348,4,3,3,3,4,4,3,4,4,3,5,4,2,4,4,4,3,4,3,1,1
40940,1,1,5,1,1,5,5,1,5,5,1,4,1,1,1,5,4,5,4,2,1
52458,4,3,2,3,3,2,1,5,4,4,1,3,3,2,4,2,2,4,5,2,0
68961,5,5,1,1,5,3,1,4,2,1,1,5,3,1,2,1,3,3,5,5,0
17295,5,5,2,3,5,1,1,4,2,1,2,5,4,1,4,1,2,5,5,4,0
473,2,4,1,3,2,2,2,4,4,2,1,5,2,1,4,4,1,4,4,1,0
27937,1,2,1,4,2,5,5,1,5,4,2,3,2,4,2,4,3,1,5,2,1
35545,4,2,2,1,4,1,1,3,4,1,1,3,4,1,4,1,3,5,5,1,0
52520,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
66053,5,5,1,1,5,1,1,5,2,1,1,5,5,1,1,1,1,5,5,5,0
18633,4,3,3,2,4,4,1,4,5,4,1,5,4,1,2,2,1,5,5,1,0
53181,5,5,1,1,5,1,1,3,5,1,1,5,5,1,4,1,1,1,5,4,0
56320,4,5,1,1,5,1,1,4,3,1,1,5,5,1,4,1,1,2,5,1,0
12824,5,3,2,4,5,1,1,4,5,4,2,4,4,2,5,5,1,5,5,4,0
5266,5,3,1,1,3,1,1,2,3,1,1,5,1,3,3,1,1,5,5,1,0
61930,4,2,2,4,4,2,2,1,5,5,2,5,1,1,4,1,2,4,5,4,1
17471,5,2,3,3,2,1,1,4,3,1,1,2,3,3,3,5,5,5,5,3,0
70042,5,3,1,2,5,1,1,2,4,2,1,5,5,3,3,4,1,2,5,4,0
26344,5,5,3,3,4,3,3,4,5,5,1,5,3,1,3,1,5,5,5,5,0
25576,1,1,1,3,1,5,2,3,5,5,1,2,1,1,1,5,1,1,3,1,1
25891,1,2,2,3,4,4,2,4,5,4,1,2,2,4,2,2,3,2,5,3,1
26644,2,4,2,1,5,1,1,5,4,4,1,5,5,1,5,4,1,4,5,5,0
56938,5,4,5,3,5,3,5,5,5,5,1,5,5,4,5,1,3,5,5,5,0
651,5,5,1,1,5,1,1,4,1,1,1,5,4,1,5,3,1,5,5,4,0
44736,2,4,5,5,2,2,2,2,4,4,2,3,1,4,4,2,2,2,4,4,1
21439,4,2,4,4,2,5,2,2,5,5,2,2,2,4,1,4,3,3,5,1,1
51481,5,5,4,2,4,2,1,5,2,1,1,5,5,1,4,4,2,5,4,3,0
44929,4,5,2,4,4,1,1,3,3,3,2,4,5,1,5,4,1,5,5,5,0
37478,2,1,3,3,4,5,3,2,4,4,3,3,2,3,3,3,2,3,2,1,1
19484,5,1,5,1,4,5,4,3,5,5,1,1,1,1,1,5,1,1,5,5,1
70726,5,4,2,1,3,1,3,3,3,1,2,4,4,2,3,2,2,2,5,1,0
70382,1,1,5,2,5,5,2,1,5,5,1,5,5,3,1,1,1,3,5,1,1
15820,1,1,5,2,1,2,1,3,5,5,1,1,1,4,2,1,4,1,1,1,1
52528,4,3,4,3,5,4,2,5,3,2,1,4,2,2,3,3,2,5,4,3,0
433,5,5,4,4,4,2,2,4,2,2,1,5,4,2,5,2,3,5,3,1,0
1033,5,5,1,3,4,1,1,2,1,1,1,5,5,1,5,1,1,5,5,5,0
63497,3,5,3,4,4,2,1,5,4,3,1,4,2,2,4,2,2,4,5,4,0
24383,4,1,3,4,4,5,2,3,5,4,3,4,1,2,4,2,2,4,4,1,1
65559,2,2,4,2,3,3,2,4,4,3,2,3,4,2,3,2,3,4,4,3,1
28365,1,2,4,2,1,2,2,4,4,5,1,2,5,1,2,1,5,4,5,1,1
17353,4,3,2,3,4,3,3,5,4,3,2,5,3,2,5,2,2,2,5,2,0
40341,2,4,2,2,5,1,2,4,2,3,2,5,1,2,5,1,3,5,5,3,0
56789,3,3,3,5,3,4,2,2,5,4,2,4,5,2,5,1,1,3,5,5,1
42318,1,3,3,4,4,4,2,2,4,4,2,4,1,2,3,2,2,4,5,1,1
